sales_person,country,product,date,amount,boxes_shipped,day,month,year,weekdays
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32.0,13,7,2022,Wednesday
Camilla Castle,USA,Spicy Special Slims,2022-11-02,1274.0,244.0,2,11,2022,Wednesday
Marney O'Breen,USA,Orange Choco,2022-01-27,7595.0,181.0,27,1,2022,Thursday
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725.0,137.0,31,1,2022,Monday
Camilla Castle,USA,White Choc,2022-08-18,9681.0,24.0,18,8,2022,Thursday
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504.0,21.0,30,6,2022,Thursday
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311.0,23,8,2022,Tuesday
Brien Boise,New Zealand,Mint Chip Choco,2022-01-08,63.0,181.0,8,1,2022,Saturday
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001.0,10.0,25,5,2022,Wednesday
Roddy Speechley,Canada,Organic Choco Syrup,2022-10-01,4032.0,82.0,1,10,2022,Saturday
Dennison Crosswaite,Australia,70% Dark Bites,2022-07-02,5859.0,108.0,2,7,2022,Saturday
Karlen McCaffrey,USA,Orange Choco,2022-12-05,11095.0,401.0,5,12,2022,Monday
Madelene Upcott,Australia,Spicy Special Slims,2022-07-03,7182.0,408.0,3,7,2022,Sunday
Dennison Crosswaite,Australia,85% Dark Bars,2022-05-04,6881.0,420.0,4,5,2022,Wednesday
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-03-01,7154.0,348.0,1,3,2022,Tuesday
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188.0,270.0,24,3,2022,Thursday
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9.0,7,7,2022,Thursday
Van Tuxwell,USA,After Nines,2022-07-26,630.0,264.0,26,7,2022,Tuesday
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111.0,7,7,2022,Thursday
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65.0,15,7,2022,Friday
Roddy Speechley,New Zealand,Orange Choco,2022-01-04,49.0,97.0,4,1,2022,Tuesday
Beverie Moffet,Australia,Eclairs,2022-06-20,1827.0,6.0,20,6,2022,Monday
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006.0,482.0,29,6,2022,Wednesday
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064.0,106.0,15,6,2022,Wednesday
Husein Augar,USA,After Nines,2022-08-04,11571.0,180.0,4,8,2022,Thursday
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31.0,14,3,2022,Monday
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456.0,359.0,15,7,2022,Friday
Kelci Walkden,India,Eclairs,2022-04-19,5334.0,80.0,19,4,2022,Tuesday
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151.0,296.0,28,3,2022,Monday
Brien Boise,Canada,Spicy Special Slims,2022-04-03,8106.0,101.0,3,4,2022,Sunday
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-02-08,126.0,40.0,8,2,2022,Tuesday
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697.0,42.0,25,8,2022,Thursday
Marney O'Breen,USA,Almond Choco,2022-02-25,7798.0,167.0,25,2,2022,Friday
Kelci Walkden,India,Orange Choco,2022-07-06,9408.0,138.0,6,7,2022,Wednesday
Jan Morforth,India,Spicy Special Slims,2022-12-04,1939.0,520.0,4,12,2022,Sunday
Ches Bonnell,India,Spicy Special Slims,2022-06-07,10906.0,94.0,7,6,2022,Tuesday
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929.0,175.0,19,1,2022,Wednesday
Madelene Upcott,Australia,Fruit & Nut Bars,2022-05-01,5579.0,92.0,1,5,2022,Sunday
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141.0,24,1,2022,Monday
Wilone O'Kielt,Australia,Drinking Coco,2022-06-04,623.0,283.0,4,6,2022,Saturday
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013.0,21.0,15,6,2022,Wednesday
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505.0,47.0,28,1,2022,Friday
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125.0,16,3,2022,Wednesday
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396.0,21,2,2022,Monday
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318.0,87.0,16,2,2022,Wednesday
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27.0,13,1,2022,Thursday
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,547.0,23,3,2022,Wednesday
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854.0,118.0,16,6,2022,Thursday
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832.0,46.0,14,4,2022,Thursday
Kelci Walkden,UK,Eclairs,2022-01-25,4606.0,57.0,25,1,2022,Tuesday
Jan Morforth,India,Almond Choco,2022-11-03,4466.0,22.0,3,11,2022,Thursday
Dotty Strutley,UK,Almond Choco,2022-07-28,16114.0,96.0,28,7,2022,Thursday
Marney O'Breen,New Zealand,After Nines,2022-09-03,1561.0,44.0,3,9,2022,Saturday
Husein Augar,Australia,Orange Choco,2022-06-28,8897.0,188.0,28,6,2022,Tuesday
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387.0,28,7,2022,Thursday
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50.0,15,8,2022,Monday
Kaine Padly,Australia,Manuka Honey Choco,2022-12-01,2765.0,264.0,1,12,2022,Thursday
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7.0,24,3,2022,Thursday
Van Tuxwell,UK,Milk Bars,2022-07-25,4263.0,90.0,25,7,2022,Monday
Oby Sorrel,Canada,99% Dark & Pure,2022-01-08,3605.0,403.0,8,1,2022,Saturday
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,19929.0,174.0,16,5,2022,Monday
Roddy Speechley,India,Smooth Sliky Salty,2022-10-08,5103.0,140.0,8,10,2022,Saturday
Jan Morforth,India,Eclairs,2022-05-01,2541.0,27.0,1,5,2022,Sunday
Ches Bonnell,UK,Smooth Sliky Salty,2022-11-07,5663.0,110.0,7,11,2022,Monday
Wilone O'Kielt,USA,After Nines,2022-04-25,392.0,30.0,25,4,2022,Monday
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.0,121.0,4,4,2022,Monday
Barr Faughny,USA,Raspberry Choco,2022-12-04,9282.0,101.0,4,12,2022,Sunday
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-02-08,1827.0,117.0,8,2,2022,Tuesday
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,8267.0,272.0,28,6,2022,Tuesday
Ches Bonnell,Australia,Eclairs,2022-05-07,4116.0,128.0,7,5,2022,Saturday
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-07-06,2093.0,45.0,6,7,2022,Wednesday
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015.0,27.0,18,1,2022,Tuesday
Brien Boise,Australia,Baker's Choco Chips,2022-04-01,12516.0,212.0,1,4,2022,Friday
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758.0,18.0,31,1,2022,Monday
Kelci Walkden,India,Almond Choco,2022-03-14,3297.0,149.0,14,3,2022,Monday
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048.0,477.0,29,4,2022,Friday
Oby Sorrel,India,Smooth Sliky Salty,2022-07-02,10101.0,108.0,2,7,2022,Saturday
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,2282.0,178.0,31,3,2022,Thursday
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361.0,81.0,16,3,2022,Wednesday
Karlen McCaffrey,UK,Eclairs,2022-01-25,7798.0,196.0,25,1,2022,Tuesday
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,3052.0,447.0,20,6,2022,Monday
Gigi Bohling,UK,After Nines,2022-03-29,8029.0,175.0,29,3,2022,Tuesday
Curtice Advani,Australia,Orange Choco,2022-12-07,854.0,136.0,7,12,2022,Wednesday
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-11-07,5460.0,138.0,7,11,2022,Monday
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017.0,184.0,19,1,2022,Wednesday
Andria Kimpton,USA,85% Dark Bars,2022-05-04,8911.0,82.0,4,5,2022,Wednesday
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203.0,12.0,21,2,2022,Monday
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,13083.0,14.0,20,5,2022,Friday
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779.0,104.0,29,7,2022,Friday
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,9058.0,46.0,28,1,2022,Friday
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,3549.0,112.0,19,7,2022,Tuesday
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,9436.0,11.0,13,4,2022,Wednesday
Roddy Speechley,India,Peanut Butter Cubes,2022-11-02,10283.0,21.0,2,11,2022,Wednesday
Roddy Speechley,New Zealand,Milk Bars,2022-02-03,5446.0,116.0,3,2,2022,Thursday
Ches Bonnell,Australia,White Choc,2022-02-03,1043.0,202.0,3,2,2022,Thursday
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586.0,6.0,28,7,2022,Thursday
Kelci Walkden,India,After Nines,2022-07-01,1687.0,520.0,1,7,2022,Friday
Brien Boise,UK,White Choc,2022-12-04,5299.0,167.0,4,12,2022,Sunday
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213.0,72.0,27,6,2022,Monday
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194.0,418.0,14,1,2022,Friday
Karlen McCaffrey,UK,Baker's Choco Chips,2022-07-02,4753.0,389.0,2,7,2022,Saturday
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706.0,26.0,23,3,2022,Wednesday
Marney O'Breen,India,Peanut Butter Cubes,2022-10-01,6489.0,146.0,1,10,2022,Saturday
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,9324.0,41.0,17,3,2022,Thursday
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,10829.0,54.0,21,1,2022,Friday
Barr Faughny,Australia,White Choc,2022-04-07,8113.0,370.0,7,4,2022,Thursday
Kaine Padly,Canada,Peanut Butter Cubes,2022-04-07,3269.0,176.0,7,4,2022,Thursday
Dotty Strutley,USA,Manuka Honey Choco,2022-10-08,273.0,210.0,8,10,2022,Saturday
Dennison Crosswaite,Australia,50% Dark Bites,2022-01-04,7287.0,12.0,4,1,2022,Tuesday
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583.0,159.0,22,2,2022,Tuesday
Camilla Castle,UK,White Choc,2022-03-01,9982.0,187.0,1,3,2022,Tuesday
Karlen McCaffrey,India,Drinking Coco,2022-05-31,4795.0,233.0,31,5,2022,Tuesday
Dotty Strutley,UK,99% Dark & Pure,2022-03-01,9310.0,282.0,1,3,2022,Tuesday
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497.0,475.0,27,1,2022,Thursday
Barr Faughny,UK,50% Dark Bites,2022-01-28,581.0,65.0,28,1,2022,Friday
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,3472.0,311.0,28,6,2022,Tuesday
Husein Augar,UK,Choco Coated Almonds,2022-02-03,4333.0,43.0,3,2,2022,Thursday
Wilone O'Kielt,Australia,After Nines,2022-05-27,3325.0,26.0,27,5,2022,Friday
Dennison Crosswaite,USA,Almond Choco,2022-06-30,11718.0,84.0,30,6,2022,Thursday
Barr Faughny,Canada,Peanut Butter Cubes,2022-07-06,2100.0,78.0,6,7,2022,Wednesday
Kaine Padly,USA,70% Dark Bites,2022-12-05,4018.0,100.0,5,12,2022,Monday
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,6468.0,66.0,29,7,2022,Friday
Dennison Crosswaite,UK,White Choc,2022-03-08,7238.0,265.0,8,3,2022,Tuesday
Barr Faughny,India,Baker's Choco Chips,2022-08-18,6454.0,141.0,18,8,2022,Thursday
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,3115.0,42.0,14,6,2022,Tuesday
Beverie Moffet,UK,White Choc,2022-06-30,6475.0,76.0,30,6,2022,Thursday
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,1162.0,190.0,13,6,2022,Monday
Ches Bonnell,UK,Orange Choco,2022-04-27,14238.0,54.0,27,4,2022,Wednesday
Jan Morforth,Australia,White Choc,2022-07-27,3472.0,32.0,27,7,2022,Wednesday
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,1428.0,424.0,20,4,2022,Wednesday
Rafaelita Blaksland,India,Spicy Special Slims,2022-04-01,8064.0,134.0,1,4,2022,Friday
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,9660.0,92.0,21,2,2022,Monday
Karlen McCaffrey,Australia,White Choc,2022-05-01,7357.0,48.0,1,5,2022,Sunday
Beverie Moffet,India,Drinking Coco,2022-07-15,6055.0,46.0,15,7,2022,Friday
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,5124.0,62.0,25,5,2022,Wednesday
Karlen McCaffrey,Canada,Eclairs,2022-04-20,3479.0,358.0,20,4,2022,Wednesday
Gigi Bohling,USA,99% Dark & Pure,2022-02-06,784.0,249.0,6,2,2022,Sunday
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,18991.0,88.0,13,5,2022,Friday
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-03-08,1372.0,144.0,8,3,2022,Tuesday
Beverie Moffet,Australia,Milk Bars,2022-05-25,735.0,390.0,25,5,2022,Wednesday
Van Tuxwell,UK,Raspberry Choco,2022-03-16,6538.0,79.0,16,3,2022,Wednesday
Jan Morforth,Australia,Orange Choco,2022-04-07,3199.0,122.0,7,4,2022,Thursday
Jehu Rudeforth,India,50% Dark Bites,2022-05-07,3472.0,135.0,7,5,2022,Saturday
Madelene Upcott,USA,After Nines,2022-03-15,4571.0,430.0,15,3,2022,Tuesday
Barr Faughny,UK,Raspberry Choco,2022-08-22,5481.0,69.0,22,8,2022,Monday
Ches Bonnell,Australia,70% Dark Bites,2022-12-01,3136.0,125.0,1,12,2022,Thursday
Marney O'Breen,UK,Baker's Choco Chips,2022-10-06,252.0,154.0,6,10,2022,Thursday
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,5460.0,286.0,25,3,2022,Friday
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395.0,99.0,27,7,2022,Wednesday
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,14938.0,433.0,15,4,2022,Friday
Roddy Speechley,India,Orange Choco,2022-06-27,4053.0,19.0,27,6,2022,Monday
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,5565.0,258.0,14,4,2022,Thursday
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,7161.0,92.0,15,3,2022,Tuesday
Madelene Upcott,USA,Eclairs,2022-03-18,8883.0,200.0,18,3,2022,Friday
Brien Boise,India,Eclairs,2022-04-29,1351.0,61.0,29,4,2022,Friday
Mallorie Waber,New Zealand,White Choc,2022-02-25,3171.0,246.0,25,2,2022,Friday
Husein Augar,USA,Milk Bars,2022-02-03,854.0,56.0,3,2,2022,Thursday
Van Tuxwell,Australia,Milk Bars,2022-06-20,7910.0,87.0,20,6,2022,Monday
Beverie Moffet,Canada,White Choc,2022-07-15,9275.0,173.0,15,7,2022,Friday
Dotty Strutley,Australia,50% Dark Bites,2022-12-05,3108.0,252.0,5,12,2022,Monday
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-01-07,5075.0,256.0,7,1,2022,Friday
Husein Augar,USA,85% Dark Bars,2022-08-08,378.0,54.0,8,8,2022,Monday
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350.0,6.0,25,7,2022,Monday
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,3388.0,55.0,18,5,2022,Wednesday
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,11837.0,277.0,15,7,2022,Friday
Curtice Advani,India,70% Dark Bites,2022-05-07,2282.0,44.0,7,5,2022,Saturday
Mallorie Waber,USA,Manuka Honey Choco,2022-04-07,5425.0,96.0,7,4,2022,Thursday
Dotty Strutley,UK,70% Dark Bites,2022-06-20,1267.0,216.0,20,6,2022,Monday
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752.0,424.0,25,1,2022,Tuesday
Kaine Padly,New Zealand,Spicy Special Slims,2022-01-07,7728.0,37.0,7,1,2022,Friday
Gigi Bohling,USA,50% Dark Bites,2022-04-13,2296.0,59.0,13,4,2022,Wednesday
Beverie Moffet,UK,Smooth Sliky Salty,2022-04-05,4403.0,76.0,5,4,2022,Tuesday
Beverie Moffet,Australia,Baker's Choco Chips,2022-04-08,3192.0,109.0,8,4,2022,Friday
Beverie Moffet,India,70% Dark Bites,2022-01-06,448.0,146.0,6,1,2022,Thursday
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,4270.0,185.0,22,4,2022,Friday
Kaine Padly,USA,50% Dark Bites,2022-03-08,70.0,27.0,8,3,2022,Tuesday
Ches Bonnell,USA,Orange Choco,2022-10-06,1743.0,69.0,6,10,2022,Thursday
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,6762.0,46.0,27,6,2022,Monday
Marney O'Breen,Australia,Smooth Sliky Salty,2022-03-01,3745.0,170.0,1,3,2022,Tuesday
Marney O'Breen,India,After Nines,2022-11-07,2639.0,179.0,7,11,2022,Monday
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,4389.0,126.0,17,8,2022,Wednesday
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,2604.0,65.0,18,1,2022,Tuesday
Ches Bonnell,India,Organic Choco Syrup,2022-08-03,16569.0,99.0,3,8,2022,Wednesday
Mallorie Waber,Australia,Orange Choco,2022-07-03,14658.0,275.0,3,7,2022,Sunday
Husein Augar,India,70% Dark Bites,2022-09-05,6454.0,157.0,5,9,2022,Monday
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,2100.0,157.0,23,5,2022,Monday
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,161.0,145.0,15,4,2022,Friday
Gigi Bohling,Australia,Drinking Coco,2022-07-27,2807.0,139.0,27,7,2022,Wednesday
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,2639.0,406.0,22,8,2022,Monday
Ches Bonnell,USA,70% Dark Bites,2022-11-05,4571.0,122.0,5,11,2022,Saturday
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,4781.0,38.0,26,1,2022,Wednesday
Barr Faughny,USA,50% Dark Bites,2022-04-14,13034.0,117.0,14,4,2022,Thursday
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-05-04,6454.0,417.0,4,5,2022,Wednesday
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,8484.0,57.0,14,6,2022,Tuesday
Brien Boise,Canada,Almond Choco,2022-04-13,4781.0,125.0,13,4,2022,Wednesday
Beverie Moffet,Australia,White Choc,2022-06-27,2240.0,166.0,27,6,2022,Monday
Dotty Strutley,Australia,Eclairs,2022-01-26,6979.0,3.0,26,1,2022,Wednesday
Barr Faughny,UK,White Choc,2022-05-07,1652.0,72.0,7,5,2022,Saturday
Beverie Moffet,Canada,Baker's Choco Chips,2022-11-01,13447.0,95.0,1,11,2022,Tuesday
Kelci Walkden,USA,White Choc,2022-07-03,9422.0,22.0,3,7,2022,Sunday
Kaine Padly,Canada,50% Dark Bites,2022-04-03,8687.0,100.0,3,4,2022,Sunday
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,2415.0,312.0,15,7,2022,Friday
Kaine Padly,UK,Peanut Butter Cubes,2022-11-05,6272.0,86.0,5,11,2022,Saturday
Karlen McCaffrey,USA,Milk Bars,2022-01-27,4389.0,7.0,27,1,2022,Thursday
Karlen McCaffrey,India,Orange Choco,2022-06-27,3122.0,149.0,27,6,2022,Monday
